"smoke","sex","age","edu","weight","height","bmi","sport","marital","region","wkabint","income","ls"
"NO","MALE",76,"PRIMARY/NO EDUCATION",82,174,27.0841590698903,"YES","WIDOWED","Warminsko-mazurskie","NO",1685,"MOSTLY SATISFIED"
"NO","FEMALE",49,"POST-SECONDARY OR HIGHER",64,158,25.6369171607114,"YES","MARRIED","Lubuskie","NO",2100,"PLEASED"
"NO","MALE",39,"VOCATIONAL/GRAMMAR",104,178,32.8241383663679,"YES","MARRIED","Podkarpackie","NO",NA,"MOSTLY SATISFIED"
"NO","FEMALE",44,"PRIMARY/NO EDUCATION",73,165,26.8135904499541,"YES","MARRIED","Wielkopolskie","NO",-8,"PLEASED"
"NO","FEMALE",46,"VOCATIONAL/GRAMMAR",69,168,24.4472789115646,"YES","MARRIED","Podlaskie","NO",1000,"PLEASED"
"NO","FEMALE",72,"SECONDARY",63,170,21.7993079584775,"YES","MARRIED","Lodzkie","NO",1200,"MOSTLY SATISFIED"
"NO","FEMALE",41,"POST-SECONDARY OR HIGHER",58,163,21.8299521999323,"YES","DE FACTO SEPARATED","Opolskie","NO",1000,"MOSTLY SATISFIED"
"NO","MALE",49,"POST-SECONDARY OR HIGHER",80,172,27.0416441319632,"NO","MARRIED","Kujawsko-pomorskie","NO",3500,"PLEASED"
"NO","MALE",57,"POST-SECONDARY OR HIGHER",87,183,25.9786795664248,"NO","MARRIED","Mazowieckie","NO",5000,"PLEASED"
"YES","FEMALE",45,"PRIMARY/NO EDUCATION",56,160,21.875,"YES","MARRIED","Zachodnio-pomorskie","NO",2000,"MOSTLY SATISFIED"
"NO","FEMALE",49,"VOCATIONAL/GRAMMAR",75,158,30.0432622977087,"NO","MARRIED","Dolnoslaskie","NO",NA,"PLEASED"
"NO","MALE",78,"SECONDARY",95,175,31.0204081632653,"NO","MARRIED","Wielkopolskie","NO",1800,"PLEASED"
"NO","FEMALE",19,"VOCATIONAL/GRAMMAR",58,173,19.379197433927,"NO","SINGLE","Lubelskie","NO",-8,"MOSTLY SATISFIED"
"NO","FEMALE",31,"VOCATIONAL/GRAMMAR",68,166,24.6770213383655,"YES","MARRIED","Malopolskie","NO",182,"PLEASED"
"NO","FEMALE",18,"VOCATIONAL/GRAMMAR",52,165,19.1000918273646,"NO","SINGLE","Kujawsko-pomorskie","NO",NA,"MOSTLY SATISFIED"
"NO","FEMALE",61,"SECONDARY",92,164,34.2058298631767,"YES","MARRIED","Slaskie","NO",1800,"MOSTLY SATISFIED"
"NO","MALE",63,"VOCATIONAL/GRAMMAR",86,176,27.7634297520661,"YES","MARRIED","Lubelskie","NO",1700,"MOSTLY SATISFIED"
"NO","MALE",20,"SECONDARY",87,184,25.6970699432892,"NO","SINGLE","Lubelskie","NO",-8,"MOSTLY SATISFIED"
"NO","FEMALE",60,"POST-SECONDARY OR HIGHER",80,170,27.681660899654,"NO","MARRIED","Slaskie","NO",-8,"PLEASED"
"NO","FEMALE",50,"SECONDARY",62,158,24.8357634994392,"YES","MARRIED","Wielkopolskie","NO",-8,"MOSTLY SATISFIED"
"NO","MALE",30,"POST-SECONDARY OR HIGHER",80,182,24.1516725033209,"YES","SINGLE","Swietokrzyskie","NO",-8,"PLEASED"
"NO","MALE",18,"VOCATIONAL/GRAMMAR",69,184,20.3804347826087,"NO","SINGLE","Dolnoslaskie","NO",NA,"PLEASED"
"YES","FEMALE",35,"POST-SECONDARY OR HIGHER",62,164,23.051754907793,"YES","MARRIED","Podlaskie","NO",1400,"PLEASED"
"NO","FEMALE",67,"PRIMARY/NO EDUCATION",64,155,26.6389177939646,"YES","MARRIED","Lubelskie","NO",610,"MIXED"
"NO","FEMALE",53,"SECONDARY",90,176,29.0547520661157,"NO","MARRIED","Mazowieckie","NO",1500,"MOSTLY SATISFIED"
"NO","MALE",20,"SECONDARY",75,175,24.4897959183673,"NO","SINGLE","Lodzkie","NO",800,"PLEASED"
"NO","FEMALE",17,"PRIMARY/NO EDUCATION",50,167,17.9282154254366,"NO","SINGLE","Pomorskie","NO",NA,"PLEASED"
"NO","FEMALE",69,"SECONDARY",63,158,25.2363403300753,"NO","WIDOWED","Slaskie","NO",1500,"PLEASED"
"NO","FEMALE",43,"VOCATIONAL/GRAMMAR",65,168,23.0300453514739,"YES","MARRIED","Opolskie","NO",1200,"PLEASED"
"NO","MALE",27,"VOCATIONAL/GRAMMAR",76,178,23.9868703446535,"YES","MARRIED","Slaskie","NO",1700,"MIXED"
"YES","MALE",45,"PRIMARY/NO EDUCATION",70,176,22.5981404958678,"YES","DIVORCED","Slaskie","YES",350,"MIXED"
"YES","FEMALE",25,"SECONDARY",58,175,18.9387755102041,"YES","MARRIED","Lodzkie","NO",NA,"MOSTLY SATISFIED"
"NO","FEMALE",70,"PRIMARY/NO EDUCATION",81,150,36,"YES","WIDOWED","Malopolskie","NO",870,"MIXED"
"NO","MALE",79,"PRIMARY/NO EDUCATION",NA,178,NA,"YES","MARRIED","Warminsko-mazurskie","NO",834,"MOSTLY SATISFIED"
"YES","FEMALE",60,"PRIMARY/NO EDUCATION",74,167,26.5337588296461,"YES","MARRIED","Pomorskie","NO",870,"PLEASED"
"NO","MALE",42,"VOCATIONAL/GRAMMAR",130,176,41.9679752066116,"YES","MARRIED","Zachodnio-pomorskie","NO",NA,"MOSTLY SATISFIED"
"YES","MALE",55,"SECONDARY",90,170,31.1418685121107,"YES","MARRIED","Podlaskie","NO",2000,"PLEASED"
"NO","MALE",27,"POST-SECONDARY OR HIGHER",71,176,22.9209710743802,"NO","SINGLE","Malopolskie","NO",-8,"MOSTLY SATISFIED"
"NO","MALE",64,"VOCATIONAL/GRAMMAR",55,164,20.4491374182035,"YES","MARRIED","Mazowieckie","NO",900,"PLEASED"
"NO","FEMALE",72,"SECONDARY",52,158,20.829995193078,"NO","WIDOWED","Dolnoslaskie","NO",1600,"PLEASED"
"YES","FEMALE",46,"POST-SECONDARY OR HIGHER",60,164,22.3081499107674,"YES","DIVORCED","Slaskie","NO",2600,"PLEASED"
"YES","MALE",26,"SECONDARY",75,180,23.1481481481481,"YES","SINGLE","Kujawsko-pomorskie","NO",NA,"MIXED"
"NO","FEMALE",20,"SECONDARY",50,168,17.7154195011338,"NO","SINGLE","Lubuskie","NO",NA,"PLEASED"
"NO","FEMALE",34,"POST-SECONDARY OR HIGHER",63,165,23.1404958677686,"YES","MARRIED","Swietokrzyskie","NO",2500,"PLEASED"
"NO","FEMALE",83,"PRIMARY/NO EDUCATION",64,152,27.7008310249307,"YES","WIDOWED","Warminsko-mazurskie","NO",1000,"MOSTLY SATISFIED"
"NO","FEMALE",21,"SECONDARY",50,165,18.3654729109275,"NO","SINGLE","Wielkopolskie","NO",-8,"PLEASED"
"NO","MALE",19,"VOCATIONAL/GRAMMAR",75,182,22.6421929718633,"NO","SINGLE","Podkarpackie","NO",660,"MOSTLY SATISFIED"
"YES","FEMALE",58,"VOCATIONAL/GRAMMAR",70,169,24.5089457652043,"YES","SINGLE","Zachodnio-pomorskie","NO",1300,"MIXED"
"NO","FEMALE",46,"VOCATIONAL/GRAMMAR",100,164,37.180249851279,"NO","MARRIED","Podkarpackie","NO",-8,"MIXED"
"YES","MALE",42,"SECONDARY",105,182,31.6990701606086,"NO","MARRIED","Lubuskie","YES",1300,"MOSTLY SATISFIED"
"NO","MALE",40,"SECONDARY",80,185,23.3747260774288,"YES","MARRIED","Slaskie","NO",1500,"PLEASED"
"NO","MALE",42,"VOCATIONAL/GRAMMAR",80,180,24.6913580246914,"YES","MARRIED","Mazowieckie","NO",1500,"MOSTLY SATISFIED"
"YES","MALE",42,"VOCATIONAL/GRAMMAR",85,178,26.8274207802045,"YES","MARRIED","Malopolskie","NO",-8,"MOSTLY SATISFIED"
"NO","FEMALE",63,"PRIMARY/NO EDUCATION",85,176,27.4405991735537,"YES","MARRIED","Dolnoslaskie","NO",NA,"MIXED"
"NO","FEMALE",75,"VOCATIONAL/GRAMMAR",60,160,23.4375,"YES","MARRIED","Podkarpackie","NO",1000,"PLEASED"
"NO","FEMALE",24,"SECONDARY",56,173,18.7109492465502,"YES","MARRIED","Podlaskie","NO",500,"PLEASED"
"NO","FEMALE",57,"PRIMARY/NO EDUCATION",79,158,31.6455696202532,"YES","WIDOWED","Slaskie","NO",1300,"MOSTLY SATISFIED"
"NO","MALE",62,"SECONDARY",94,173,31.4076648067092,"NO","MARRIED","Kujawsko-pomorskie","NO",1500,"PLEASED"
"NO","FEMALE",46,"POST-SECONDARY OR HIGHER",61,168,21.6128117913832,"NO","DIVORCED","Malopolskie","NO",2990,"MOSTLY SATISFIED"
"NO","MALE",56,"PRIMARY/NO EDUCATION",100,180,30.8641975308642,"YES","MARRIED","Kujawsko-pomorskie","NO",900,"MOSTLY SATISFIED"
"NO","MALE",63,"PRIMARY/NO EDUCATION",60,160,23.4375,"YES","WIDOWED","Pomorskie","NO",940,"MOSTLY DISSATISFIED"
"NO","FEMALE",35,"PRIMARY/NO EDUCATION",55,157,22.3132784291452,"NO","MARRIED","Warminsko-mazurskie","NO",NA,"DELIGHTED"
"NO","FEMALE",21,"SECONDARY",56,164,20.8209399167162,"NO","SINGLE","Pomorskie","NO",1500,"PLEASED"
"NO","MALE",65,"SECONDARY",80,170,27.681660899654,"YES","MARRIED","Kujawsko-pomorskie","NO",1500,"PLEASED"
"NO","FEMALE",28,"SECONDARY",80,163,30.1102788964583,"NO","SINGLE","Wielkopolskie","NO",NA,"MOSTLY SATISFIED"
"YES","FEMALE",58,"SECONDARY",90,173,30.0711684319556,"YES","MARRIED","Wielkopolskie","NO",1050,"MOSTLY SATISFIED"
"YES","MALE",46,"SECONDARY",55,175,17.9591836734694,"YES","MARRIED","Kujawsko-pomorskie","NO",1300,"MIXED"
"NO","FEMALE",74,"VOCATIONAL/GRAMMAR",97,165,35.6290174471993,"YES","WIDOWED","Lodzkie","NO",1230,"PLEASED"
"NO","FEMALE",25,"POST-SECONDARY OR HIGHER",56,178,17.6745360434289,"YES","SINGLE","Podlaskie","NO",950,"MOSTLY DISSATISFIED"
"YES","FEMALE",45,"SECONDARY",56,165,20.5693296602388,"NO","MARRIED","Dolnoslaskie","NO",1000,"MOSTLY DISSATISFIED"
"NO","FEMALE",53,"VOCATIONAL/GRAMMAR",69,163,25.9701155481953,"NO","WIDOWED","Slaskie","NO",1800,"MOSTLY DISSATISFIED"
"NO","FEMALE",69,"PRIMARY/NO EDUCATION",75,160,29.296875,"YES","WIDOWED","Lubelskie","NO",890,"MOSTLY DISSATISFIED"
"YES","MALE",51,"VOCATIONAL/GRAMMAR",85,180,26.2345679012346,"YES","MARRIED","Slaskie","NO",2000,"MIXED"
"NO","FEMALE",60,"SECONDARY",62,158,24.8357634994392,"YES","MARRIED","Podkarpackie","NO",1300,"MOSTLY SATISFIED"
"NO","FEMALE",49,"VOCATIONAL/GRAMMAR",80,170,27.681660899654,"YES","SINGLE","Slaskie","NO",1000,"MOSTLY SATISFIED"
"YES","MALE",26,"POST-SECONDARY OR HIGHER",83,176,26.7949380165289,"NO","SINGLE","Podkarpackie","NO",-8,"PLEASED"
"NO","FEMALE",41,"VOCATIONAL/GRAMMAR",85,164,31.6032123735872,"YES","MARRIED","Dolnoslaskie","NO",NA,"PLEASED"
"NO","MALE",43,"SECONDARY",90,178,28.4055043555107,"YES","MARRIED","Lodzkie","NO",-8,"PLEASED"
"NO","MALE",46,"SECONDARY",96,180,29.6296296296296,"YES","MARRIED","Dolnoslaskie","NO",3200,"PLEASED"
"NO","FEMALE",75,"PRIMARY/NO EDUCATION",48,158,19.2276878705336,"YES","WIDOWED","Kujawsko-pomorskie","NO",1200,"MOSTLY SATISFIED"
"NO","FEMALE",64,"SECONDARY",70,161,27.0051309748852,"NO","WIDOWED","Slaskie","NO",2500,"PLEASED"
"NO","MALE",22,"POST-SECONDARY OR HIGHER",63,182,19.0194420963652,"NO","SINGLE","Slaskie","NO",400,"PLEASED"
"YES","FEMALE",52,"VOCATIONAL/GRAMMAR",NA,NA,NA,"YES","MARRIED","Warminsko-mazurskie","NO",1000,"MOSTLY SATISFIED"
"NO","MALE",57,"POST-SECONDARY OR HIGHER",105,178,33.1397550814291,"NO","MARRIED","Dolnoslaskie","NO",4000,"PLEASED"
"NO","FEMALE",49,"SECONDARY",78,164,29.0005948839976,"NO","MARRIED","Podlaskie","NO",2000,"MOSTLY SATISFIED"
"NO","MALE",62,"VOCATIONAL/GRAMMAR",95,171,32.4886289798571,"NO","MARRIED","Wielkopolskie","NO",1300,"PLEASED"
"NO","FEMALE",57,"SECONDARY",70,168,24.8015873015873,"NO","MARRIED","Lubuskie","NO",720,"PLEASED"
"YES","MALE",38,"VOCATIONAL/GRAMMAR",86,176,27.7634297520661,"NO","MARRIED","Dolnoslaskie","NO",3000,"PLEASED"
"YES","FEMALE",40,"PRIMARY/NO EDUCATION",58,164,21.5645449137418,"YES","MARRIED","Malopolskie","NO",300,"MOSTLY SATISFIED"
"NO","FEMALE",51,"PRIMARY/NO EDUCATION",52,160,20.3125,"YES","SINGLE","Mazowieckie","NO",450,"MIXED"
"NO","FEMALE",19,"SECONDARY",70,170,24.2214532871972,"YES","SINGLE","Slaskie","NO",-8,"MOSTLY SATISFIED"
"YES","FEMALE",31,"VOCATIONAL/GRAMMAR",48,158,19.2276878705336,"YES","MARRIED","Dolnoslaskie","NO",NA,"MIXED"
"NO","FEMALE",21,"PRIMARY/NO EDUCATION",50,165,18.3654729109275,"YES","SINGLE","Kujawsko-pomorskie","NO",NA,"MOSTLY SATISFIED"
"NO","FEMALE",42,"SECONDARY",83,170,28.719723183391,"YES","MARRIED","Wielkopolskie","NO",800,"MOSTLY SATISFIED"
"YES","MALE",36,"VOCATIONAL/GRAMMAR",86,174,28.4053375611045,"YES","MARRIED","Malopolskie","NO",3000,"MOSTLY SATISFIED"
"NO","FEMALE",37,"VOCATIONAL/GRAMMAR",80,178,25.2493372048984,"NO","SINGLE","Pomorskie","NO",150,"MIXED"
"YES","FEMALE",64,"VOCATIONAL/GRAMMAR",75,170,25.9515570934256,"NO","WIDOWED","Kujawsko-pomorskie","NO",1200,"MOSTLY SATISFIED"
"NO","MALE",78,"VOCATIONAL/GRAMMAR",90,169,31.5115016981198,"NO","MARRIED","Kujawsko-pomorskie","NO",1900,"MOSTLY SATISFIED"
"NO","MALE",30,"VOCATIONAL/GRAMMAR",68,177,21.7051294327939,"YES","MARRIED","Slaskie","NO",2200,"PLEASED"
"NO","MALE",25,"POST-SECONDARY OR HIGHER",70,176,22.5981404958678,"YES","SINGLE","Podlaskie","NO",1064,"MIXED"
"NO","FEMALE",27,"POST-SECONDARY OR HIGHER",72,179,22.4712087637714,"NO","MARRIED","Pomorskie","YES",3000,"PLEASED"
"NO","FEMALE",76,"PRIMARY/NO EDUCATION",65,158,26.0374939913475,"YES","WIDOWED","Malopolskie","NO",980,"MOSTLY SATISFIED"
"NO","FEMALE",49,"POST-SECONDARY OR HIGHER",98,162,37.3418686175888,"NO","WIDOWED","Slaskie","NO",-8,"MOSTLY SATISFIED"
"NO","FEMALE",42,"SECONDARY",64,162,24.3865264441396,"YES","MARRIED","Lubuskie","NO",2700,"PLEASED"
"YES","FEMALE",61,"SECONDARY",60,168,21.2585034013605,"YES","DIVORCED","Lubelskie","NO",800,"MIXED"
"NO","FEMALE",70,"SECONDARY",70,154,29.5159386068477,"YES","MARRIED","Mazowieckie","NO",1500,"MOSTLY SATISFIED"
"NO","MALE",33,"POST-SECONDARY OR HIGHER",95,185,27.7574872169467,"NO","MARRIED","Lodzkie","NO",-8,"PLEASED"
"NO","FEMALE",31,"POST-SECONDARY OR HIGHER",78,159,30.8532099204936,"YES","MARRIED","Mazowieckie","NO",NA,"PLEASED"
"YES","MALE",26,"VOCATIONAL/GRAMMAR",76,180,23.4567901234568,"YES","SINGLE","Kujawsko-pomorskie","NO",-8,"MIXED"
"NO","MALE",41,"VOCATIONAL/GRAMMAR",100,186,28.9050757312984,"YES","MARRIED","Wielkopolskie","NO",6000,"PLEASED"
"YES","FEMALE",48,"PRIMARY/NO EDUCATION",55,160,21.484375,"YES","WIDOWED","Zachodnio-pomorskie","NO",300,"MIXED"
"NO","MALE",62,"PRIMARY/NO EDUCATION",80,170,27.681660899654,"NO","MARRIED","Podlaskie","NO",900,"MOSTLY SATISFIED"
"NO","MALE",38,"VOCATIONAL/GRAMMAR",95,177,30.3233425899326,"YES","MARRIED","Mazowieckie","NO",900,"MOSTLY SATISFIED"
"NO","MALE",48,"SECONDARY",85,186,24.5693143716036,"YES","MARRIED","Podkarpackie","NO",600,"PLEASED"
"NO","FEMALE",61,"PRIMARY/NO EDUCATION",72,152,31.1634349030471,"YES","MARRIED","Podlaskie","NO",730,"MIXED"
"NO","FEMALE",21,"SECONDARY",72,177,22.98190175237,"NO","SINGLE","Slaskie","YES",-8,"PLEASED"
"NO","FEMALE",35,"VOCATIONAL/GRAMMAR",60,170,20.7612456747405,"YES","MARRIED","Dolnoslaskie","NO",600,"MIXED"
"YES","MALE",50,"VOCATIONAL/GRAMMAR",70,168,24.8015873015873,"NO","MARRIED","Podlaskie","NO",500,"MOSTLY SATISFIED"
"NO","MALE",61,"VOCATIONAL/GRAMMAR",98,165,35.9963269054178,"YES","MARRIED","Slaskie","NO",750,"MIXED"
"NO","MALE",60,"POST-SECONDARY OR HIGHER",88,176,28.4090909090909,"YES","MARRIED","Wielkopolskie","NO",2000,"DELIGHTED"
"YES","FEMALE",63,"VOCATIONAL/GRAMMAR",95,175,31.0204081632653,"YES","MARRIED","Pomorskie","NO",1100,"PLEASED"
"NO","FEMALE",51,"PRIMARY/NO EDUCATION",75,158,30.0432622977087,"YES","MARRIED","Wielkopolskie","NO",NA,"MOSTLY SATISFIED"
"YES","FEMALE",60,"VOCATIONAL/GRAMMAR",85,152,36.7901662049861,"NO","WIDOWED","Kujawsko-pomorskie","NO",665,"MOSTLY DISSATISFIED"
"NO","MALE",60,"VOCATIONAL/GRAMMAR",98,164,36.4366448542534,"YES","MARRIED","Kujawsko-pomorskie","NO",1100,"MOSTLY SATISFIED"
"YES","FEMALE",28,"POST-SECONDARY OR HIGHER",58,173,19.379197433927,"NO","SINGLE","Dolnoslaskie","YES",500,"MIXED"
"NO","MALE",60,"VOCATIONAL/GRAMMAR",76,171,25.9909031838856,"NO","DIVORCED","Slaskie","NO",440,"MOSTLY DISSATISFIED"
"NO","FEMALE",24,"SECONDARY",65,163,24.4646016033724,"YES","SINGLE","Zachodnio-pomorskie","YES",NA,"MOSTLY SATISFIED"
"YES","MALE",41,"VOCATIONAL/GRAMMAR",100,180,30.8641975308642,"YES","MARRIED","Mazowieckie","NO",1500,"MOSTLY SATISFIED"
"YES","FEMALE",74,"SECONDARY",55,155,22.8928199791883,"YES","WIDOWED","Pomorskie","NO",548,"MOSTLY DISSATISFIED"
"NO","FEMALE",96,"PRIMARY/NO EDUCATION",96,162,36.5797896662094,"YES","WIDOWED","Warminsko-mazurskie","NO",1500,"MIXED"
"NO","FEMALE",21,"SECONDARY",49,167,17.5696511169278,"NO","SINGLE","Dolnoslaskie","YES",4200,"PLEASED"
"YES","MALE",37,"SECONDARY",92,183,27.4717071277136,"NO","MARRIED","Podkarpackie","NO",1350,"PLEASED"
"NO","MALE",54,"VOCATIONAL/GRAMMAR",110,181,33.576508653582,"YES","MARRIED","Wielkopolskie","NO",1200,"MIXED"
"NO","MALE",67,"PRIMARY/NO EDUCATION",80,173,26.7299274950717,"YES","MARRIED","Slaskie","NO",1300,"PLEASED"
"YES","FEMALE",38,"SECONDARY",73,172,24.6755002704164,"NO","MARRIED","Wielkopolskie","YES",2000,"PLEASED"
"NO","MALE",86,"PRIMARY/NO EDUCATION",100,172,33.802055164954,"YES","MARRIED","Malopolskie","NO",860,"MIXED"
"NO","MALE",23,"SECONDARY",88,183,26.2772850786825,"NO","SINGLE","Slaskie","YES",-8,"DELIGHTED"
"YES","FEMALE",53,"PRIMARY/NO EDUCATION",39,153,16.6602588747917,"YES","DIVORCED","Dolnoslaskie","NO",NA,"MIXED"
"NO","MALE",65,"VOCATIONAL/GRAMMAR",96,176,30.9917355371901,"YES","MARRIED","Mazowieckie","NO",1450,"PLEASED"
"NO","FEMALE",89,"PRIMARY/NO EDUCATION",61,154,25.7210322145387,"YES","WIDOWED","Opolskie","NO",1087,"MIXED"
"YES","MALE",42,"SECONDARY",86,174,28.4053375611045,"YES","MARRIED","Lubelskie","NO",1200,"MOSTLY SATISFIED"
"YES","MALE",23,"SECONDARY",79,175,25.7959183673469,"YES","SINGLE","Kujawsko-pomorskie","NO",-8,"MOSTLY SATISFIED"
"YES","FEMALE",68,"PRIMARY/NO EDUCATION",54,164,20.0773349196907,"YES","WIDOWED","Slaskie","NO",1100,"MIXED"
"NO","FEMALE",28,"POST-SECONDARY OR HIGHER",60,160,23.4375,"NO","MARRIED","Wielkopolskie","NO",NA,"PLEASED"
"YES","MALE",30,"VOCATIONAL/GRAMMAR",80,176,25.8264462809917,"NO","MARRIED","Mazowieckie","NO",1600,"PLEASED"
"NO","MALE",51,"VOCATIONAL/GRAMMAR",86,174,28.4053375611045,"YES","MARRIED","Opolskie","NO",-8,"MIXED"
"YES","MALE",50,"VOCATIONAL/GRAMMAR",90,175,29.3877551020408,"YES","WIDOWED","Lubelskie","NO",500,"MOSTLY DISSATISFIED"
"NO","MALE",25,"SECONDARY",90,187,25.7370814149675,"NO","SINGLE","Mazowieckie","NO",NA,"DELIGHTED"
"NO","FEMALE",77,"PRIMARY/NO EDUCATION",90,160,35.15625,"YES","WIDOWED","Kujawsko-pomorskie","NO",860,"MOSTLY DISSATISFIED"
"YES","MALE",30,"SECONDARY",70,176,22.5981404958678,"YES","MARRIED","Wielkopolskie","NO",1100,"MIXED"
"YES","FEMALE",27,"PRIMARY/NO EDUCATION",80,167,28.6851446806985,"YES","MARRIED","Pomorskie","NO",NA,"MOSTLY SATISFIED"
"YES","MALE",37,"VOCATIONAL/GRAMMAR",90,185,26.2965668371074,"YES","MARRIED","Podkarpackie","NO",1050,"PLEASED"
"NO","FEMALE",56,"SECONDARY",70,164,26.0261748958953,"YES","WIDOWED","Swietokrzyskie","NO",1500,"MOSTLY SATISFIED"
"NO","MALE",64,"VOCATIONAL/GRAMMAR",98,175,32,"NO","MARRIED","Wielkopolskie","NO",1200,"DELIGHTED"
"NO","MALE",41,"VOCATIONAL/GRAMMAR",75,180,23.1481481481481,"YES","MARRIED","Opolskie","NO",-8,"MOSTLY SATISFIED"
"NO","FEMALE",46,"VOCATIONAL/GRAMMAR",65,165,23.8751147842057,"YES","WIDOWED","Slaskie","NO",1800,"PLEASED"
"NO","FEMALE",18,"VOCATIONAL/GRAMMAR",56,165,20.5693296602388,"YES","SINGLE","Slaskie","NO",-8,"PLEASED"
"NO","FEMALE",56,"VOCATIONAL/GRAMMAR",80,150,35.5555555555556,"NO","MARRIED","Malopolskie","NO",-8,"MOSTLY SATISFIED"
"NO","MALE",62,"VOCATIONAL/GRAMMAR",70,176,22.5981404958678,"YES","MARRIED","Malopolskie","NO",1220,"PLEASED"
"NO","MALE",34,"POST-SECONDARY OR HIGHER",108,194,28.6959294292698,"NO","MARRIED","Kujawsko-pomorskie","NO",6000,"DELIGHTED"
"NO","MALE",70,"PRIMARY/NO EDUCATION",78,180,24.0740740740741,"YES","MARRIED","Swietokrzyskie","NO",1100,"MOSTLY SATISFIED"
"NO","FEMALE",56,"SECONDARY",68,170,23.5294117647059,"NO","WIDOWED","Wielkopolskie","NO",2000,"MOSTLY SATISFIED"
"NO","FEMALE",22,"SECONDARY",70,165,25.7116620752984,"YES","SINGLE","Zachodnio-pomorskie","NO",NA,"PLEASED"
"NO","FEMALE",57,"PRIMARY/NO EDUCATION",84,168,29.7619047619048,"YES","WIDOWED","Wielkopolskie","NO",900,"MOSTLY SATISFIED"
"NO","MALE",78,"PRIMARY/NO EDUCATION",75,176,24.2122933884298,"YES","MARRIED","Mazowieckie","NO",970,"PLEASED"
"YES","MALE",46,"VOCATIONAL/GRAMMAR",98,180,30.2469135802469,"YES","MARRIED","Podlaskie","NO",1800,"PLEASED"
"NO","FEMALE",72,"PRIMARY/NO EDUCATION",56,150,24.8888888888889,"NO","WIDOWED","Kujawsko-pomorskie","NO",780,"MOSTLY DISSATISFIED"
"NO","MALE",57,"POST-SECONDARY OR HIGHER",78,178,24.6181037747759,"YES","MARRIED","Mazowieckie","NO",NA,"TERRIBLE"
"NO","FEMALE",81,"POST-SECONDARY OR HIGHER",56,164,20.8209399167162,"NO","WIDOWED","Pomorskie","NO",5400,"PLEASED"
"NO","FEMALE",47,"SECONDARY",73,164,27.1415823914337,"NO","MARRIED","Podlaskie","NO",1000,"MOSTLY SATISFIED"
"NO","MALE",60,"SECONDARY",100,187,28.5967571277417,"NO","MARRIED","Zachodnio-pomorskie","NO",3600,"DELIGHTED"
"YES","MALE",76,"PRIMARY/NO EDUCATION",78,180,24.0740740740741,"YES","MARRIED","Lubuskie","NO",1680,"MIXED"
"NO","FEMALE",18,"VOCATIONAL/GRAMMAR",60,165,22.038567493113,"NO","SINGLE","Zachodnio-pomorskie","YES",NA,"DELIGHTED"
"NO","FEMALE",52,"POST-SECONDARY OR HIGHER",94,176,30.3460743801653,"YES","SINGLE","Pomorskie","NO",2000,"PLEASED"
"YES","MALE",29,"VOCATIONAL/GRAMMAR",84,182,25.3592561284869,"YES","SINGLE","Lubelskie","NO",2500,"PLEASED"
"NO","MALE",52,"VOCATIONAL/GRAMMAR",95,174,31.3779891663364,"YES","MARRIED","Lodzkie","NO",750,"PLEASED"
"NO","MALE",33,"VOCATIONAL/GRAMMAR",90,176,29.0547520661157,"YES","MARRIED","Wielkopolskie","NO",1200,"MOSTLY SATISFIED"
"NO","FEMALE",42,"SECONDARY",70,165,25.7116620752984,"YES","MARRIED","Mazowieckie","NO",4000,"MOSTLY SATISFIED"
"NO","FEMALE",45,"PRIMARY/NO EDUCATION",56,166,20.3222528668892,"NO","MARRIED","Kujawsko-pomorskie","YES",-8,"MOSTLY SATISFIED"
"NO","FEMALE",25,"POST-SECONDARY OR HIGHER",55,165,20.2020202020202,"NO","SINGLE","Opolskie","NO",-8,"PLEASED"
"NO","FEMALE",33,"VOCATIONAL/GRAMMAR",65,155,27.0551508844953,"YES","SINGLE","Lodzkie","YES",960,"PLEASED"
"YES","FEMALE",55,"VOCATIONAL/GRAMMAR",110,186,31.7955833044283,"YES","MARRIED","Wielkopolskie","NO",2000,"PLEASED"
"NO","MALE",45,"VOCATIONAL/GRAMMAR",85,172,28.7317468902109,"NO","MARRIED","Slaskie","NO",-8,"MOSTLY SATISFIED"
"NO","MALE",55,"PRIMARY/NO EDUCATION",98,175,32,"NO","MARRIED","Opolskie","NO",1500,"PLEASED"
"NO","MALE",77,"VOCATIONAL/GRAMMAR",80,170,27.681660899654,"YES","MARRIED","Malopolskie","NO",1450,"MOSTLY SATISFIED"
"NO","MALE",32,"SECONDARY",85,185,24.8356464572681,"YES","MARRIED","Lodzkie","NO",2200,"PLEASED"
"NO","MALE",56,"VOCATIONAL/GRAMMAR",91,188,25.7469443186962,"YES","MARRIED","Dolnoslaskie","NO",510,"MOSTLY SATISFIED"
"NO","FEMALE",57,"PRIMARY/NO EDUCATION",66,158,26.4380708219837,"YES","MARRIED","Opolskie","NO",1000,"MOSTLY SATISFIED"
"NO","MALE",37,"VOCATIONAL/GRAMMAR",85,180,26.2345679012346,"NO","MARRIED","Pomorskie","NO",4000,"MOSTLY SATISFIED"
"YES","MALE",58,"PRIMARY/NO EDUCATION",74,175,24.1632653061224,"YES","MARRIED","Mazowieckie","NO",900,"MIXED"
"YES","FEMALE",61,"VOCATIONAL/GRAMMAR",70,164,26.0261748958953,"YES","MARRIED","Kujawsko-pomorskie","NO",NA,"PLEASED"
